category,question,answers,used
US History,"Initially patented by Joseph Swan, this invention saw significant improvement when a more durable filament material was used by another inventor. It's often associated with a famous American inventor's first major public system of electric illumination. This innovation has evolved into various forms including LED and CFL. What is this invention which is often credited to Thomas Edison and commonly used to illuminate homes and streets?",light bulb,FALSE
US History,"This device, first successfully demonstrated in 1876, transformed global communication. Its early versions transmitted sound over a single wire, often requiring operators to connect calls. The inventor originally considered it an improvement to the telegraph. What device was famously first used by Alexander Graham Bell to summin his assistant with the words, ""Mr. Watson, come here, I want to see you""?",telephone,FALSE
US History,"The first successful use of this invention was achieved in 1903 in Kitty Hawk, North Carolina. The initial use lasted only 12 seconds but covered 120 feet.  Today, it is integral to global transportation and commerce. This invention revolutionized travel and military strategy, leading to the first nonstop transatlantic flight in 1919. What is this device which was invented by the Wright Brothers?","airplane, plane",FALSE
US History,"This computer launched in 1977 as one of the first to come with a color display and was sold as a fully assembled circuit board. It included a keyboard and was notably user-friendly, which helped it stand out in a market dominated by technical kits for hobbyists. Name this early PC that helped launch the personal computer revolution and solidified its company, founded by two Steves, as a key player in the technology sector.","Apple II, Apple 2",FALSE
US History,"Initiated as a military project during the Cold War, this early computer network was developed by the Advanced Research Projects Agency. The first message sent on this network was supposed to be ""LOGIN"" but famously crashed after the first two letters. This network employed packet switching and was a precursor to the modern Internet. What is the name of this groundbreaking project that fundamentally changed the way information is disseminated and communicated globally?",ARPANET,FALSE
US History,"This iconic statue representing a Roman goddess was designed by Frédéric Auguste Bartholdi and dedicated on October 28, 1886. It features a broken chain at its feet, symbolizing freedom and the abolition of slavery. The statue's exterior is made of copper sheets, which have oxidized to form its green patina. Initially, it served as a lighthouse, guiding ships into New York Harbor. What is this American landmark commonly known as?",Statue of Liberty,FALSE
US History,"Constructed between 1792 and 1800, this iconic building was designed by Irish-born architect James Hoban. It has 132 rooms, 35 bathrooms, and 6 levels in the residence. It was rebuilt after being burned down during the War of 1812 in an event known as the Burning of Washington. Its first resident was President John Adams. What is this famous building called?",White House,FALSE
US History,"This geological marvel was first seen by European eyes in 1540, part of an expedition led by Spanish explorers. Despite its remote location, it became more accessible after the construction of a railway bearing its name 1901. This natural wonder was designated as a national park in 1919 by President Woodrow Wilson. What is the name of this famous canyon that was carved over millions of years by the Colorado River?",Grand Canyon,FALSE
US History,"This iconic national park, located in California's Sierra Nevada mountains, was established in 1890. It was created largely due to the advocacy of naturalist John Muir. It includes one of the tallest waterfalls in North America as well as giant, ancient sequoia trees, and spectacular granite cliffs. What is the name of this national park known for its stunning natural beauty?",Yosemite National Park,FALSE
US History,"Originally built between 1871 and 1888 to accommodate the growing staff of the White House, this French Second Empire-style building is located next to the West Wing. It was initially known as the State, War, and Navy Building, reflecting its original occupants. Since 2002, its name honor has honored the 34th U.S. President. What is the official name of this building where the Vice President has an office?","Eisenhower Executive Office Building, EEOB, Eisenhower",FALSE
US History,,,
US History,,,
US History,,,
US History,,,
US History,,,
US History,,,
US History,,,
US History,,,
